URLSimilarityIndex,NoOfExternalRef,LineOfCode,NoOfSelfRef,NoOfImage,NoOfJS,HasSocialNet,NoOfCSS,HasCopyrightInfo,IsHTTPS,LargestLineLength,HasDescription,label
0,0,2,1,0,1,0,1,0,1,2278,0,0
0,0,2,0,0,0,0,0,0,1,79,0,0
1,4,234,2,4,2,0,4,1,1,254,0,1
0,1,13,0,0,0,0,0,0,0,244,0,0
1,8,540,28,8,3,1,1,1,1,2245,1,1
0,0,2,0,0,1,0,1,0,0,546,0,0
0,0,7,0,0,0,0,0,0,1,27983,0,0
1,7,183,13,3,5,0,1,1,1,240,1,1
1,112,852,106,30,14,1,14,1,1,2672,1,1
0,0,2,0,0,0,0,0,0,0,27,0,0
1,32,1868,47,46,32,1,11,1,1,3979,1,1
1,12,612,70,9,11,0,8,1,1,566,1,1
0,0,10,0,0,0,0,0,0,0,58,0,0
1,22,545,40,8,21,1,8,0,1,7545,1,1
1,15,620,66,45,5,1,6,1,1,231,0,1
1,5,648,79,5,5,0,1,1,1,588,1,1
1,101,3235,265,42,5,1,1,1,1,2825,1,1
0,0,2,0,0,0,0,0,0,0,484,0,0
0,0,20,0,0,0,0,0,0,0,209,0,0
1,303,3278,300,82,18,1,2,1,1,815,1,1
1,121,763,10,42,11,1,3,1,1,479,0,1
1,162,2045,160,37,13,1,9,1,1,4742,1,1
1,5,496,11,3,8,1,1,1,1,1015,1,1
1,183,974,10,133,2,1,0,1,1,1496,1,1
0,3,108,0,0,0,0,0,0,1,8125,0,0
1,42,2136,95,11,22,1,5,1,1,3278,0,1
1,21,4799,645,15,9,0,8,0,1,2065,1,1
0,2,82,1,1,0,0,1,0,0,155,0,0
1,8,435,74,14,76,1,2,1,1,291,0,1
0,1,13,0,0,0,0,0,0,1,73,0,0
1,26,917,42,1,2,1,1,1,1,491,1,1
0,0,2,0,0,0,0,0,0,0,46,0,0
1,92,1374,101,18,14,1,11,1,1,915,1,1
1,9,312,37,13,2,0,4,1,1,157,1,1
1,11,890,42,31,13,1,36,1,1,186,1,1
1,54,743,0,18,11,1,6,1,1,419,1,1
0,1,13,0,0,0,0,0,0,0,244,0,0
1,89,1395,79,25,25,1,11,1,1,1807,1,1
0,0,20,0,0,0,0,0,0,0,210,0,0
1,15,7254,43,41,40,1,16,1,1,2088,0,1
1,216,1581,212,63,22,1,15,1,1,1931,1,1
0,0,183,0,10,5,0,4,0,0,727,0,0
1,62,432,50,3,6,1,2,1,1,1553,1,1
1,39,1794,80,21,18,1,36,1,1,2679,1,1
1,19,2341,52,23,18,1,6,1,1,16460,1,1
0,0,20,0,0,0,0,0,0,0,211,0,0
1,18,2654,83,91,18,1,4,1,1,3979,1,1
0,0,2,0,0,0,0,0,0,1,106,0,0
1,62,642,47,22,11,1,4,1,1,417,1,1
1,510,2722,175,120,19,1,4,1,1,9379,1,1
1,43,663,65,6,20,1,13,1,1,424,1,1
1,1,393,7,4,2,0,1,1,1,2005,0,1
1,72,570,60,22,1,0,0,1,1,773,0,1
0,0,2,0,0,0,0,0,0,0,37,0,0
1,108,1185,132,38,31,1,22,0,1,9614,0,1
1,3,297,2,4,7,0,2,1,1,765,1,1
1,115,1219,105,18,30,1,3,1,1,12649,1,1
1,8,2541,209,15,14,1,2,1,1,445,1,1
1,375,15442,719,438,13,1,6,1,1,15789,0,1
1,45,849,37,28,24,0,21,1,1,1820,1,1
1,8,2124,115,94,1,1,2,1,1,854,0,1
1,22,711,56,44,29,1,49,1,1,7533,0,1
1,11,3776,171,45,20,1,1,1,1,1103,1,1
1,29,1029,91,18,15,1,5,1,1,2517,0,1
1,34,2414,172,50,3,1,3,1,1,1592,1,1
0,1,13,0,0,0,0,0,0,1,101,0,0
1,21,1832,105,38,7,1,3,1,1,480,0,1
1,138,2614,119,33,18,0,7,1,1,7353,0,1
1,55,638,46,27,13,1,11,1,1,2562,1,1
1,198,1863,161,72,53,1,34,1,1,9381,1,1
1,22,1122,99,110,4,1,3,1,1,1903,1,1
1,144,2319,149,49,47,1,8,1,1,9381,1,1
1,0,10022,1,3,4,0,1,1,1,2121,1,1
0,3,108,0,0,0,0,0,0,1,8125,0,0
1,5,244,1,8,2,1,0,0,1,1074,1,1
1,1,758,35,10,11,0,6,1,1,399,1,1
1,12,6816,70,6,14,1,1,0,1,1557,0,1
1,26,8394,761,34,23,1,1,1,1,39134,1,1
0,0,3,0,0,0,0,0,0,0,40,0,0
1,50,591,48,36,8,0,5,0,1,344,1,1
1,176,895,161,15,38,1,14,0,1,16245,0,1
1,14,776,2,2,10,1,5,1,1,474,1,1
1,1015,9234,1016,150,8,1,2,0,1,2571,1,1
1,44,644,94,11,8,1,4,1,1,1463,1,1
1,30,451,39,20,4,0,1,1,1,384,1,1
1,59,210,54,4,6,1,1,1,1,541,1,1
1,2,1216,207,1,0,0,2,1,1,854,1,1
1,9,357,40,27,9,1,4,1,1,1586,1,1
1,79,982,77,16,5,0,3,1,1,9381,1,1
1,60,582,52,18,10,0,4,1,1,700,1,1
1,142,1308,123,25,27,1,17,0,1,8047,0,1
0,1,68,0,0,0,0,0,0,1,80,0,0
0,2,90,2,0,0,0,2,0,1,394,0,0
1,18,3026,234,35,37,1,22,1,1,2675,1,1
1,91,2351,92,13,13,1,17,1,1,19511,1,1
1,28,1081,0,218,5,1,2,1,1,654,1,1
0,0,8,0,0,0,0,0,0,0,41,0,0
1,22,1867,47,16,45,1,13,1,1,1159,0,1
1,13,248,20,9,10,1,5,1,1,456,1,1
1,76,593,59,28,9,1,2,1,1,8047,1,1
1,138,1397,121,32,25,1,9,1,1,9381,0,1
1,75,768,72,14,17,1,5,1,1,9381,1,1
1,48,1563,44,18,14,1,9,1,1,9381,1,1
1,26,2435,185,89,7,1,3,1,1,15877,1,1
1,7,1992,62,0,15,1,31,1,1,1378,1,1
1,61,3651,54,12,14,1,4,1,1,2109,1,1
1,63,1304,50,31,29,1,22,1,1,8047,1,1
0,0,8,0,0,0,0,0,0,0,41,0,0
1,27,783,33,2,10,1,3,0,1,2303,0,1
1,16,826,112,19,15,0,12,1,1,272,1,1
1,6,931,49,4,6,1,2,0,1,2155,0,1
1,26,449,45,14,6,1,13,0,1,5719,1,1
0,0,2,0,0,0,0,0,0,0,28,0,0
0,0,15,0,0,0,0,0,0,0,155,0,0
0,3,81,2,0,0,0,0,0,0,3909,0,0
1,22,473,1,17,9,1,3,0,1,418,1,1
1,140,1879,38,52,24,1,28,1,1,1012,1,1
0,0,2,0,0,0,0,0,0,0,30,0,0
1,87,2374,58,36,10,1,9,1,1,379,0,1
1,163,958,157,20,15,0,10,0,1,1820,1,1
1,110,3426,84,8,12,1,8,1,1,4166,0,1
1,120,947,113,29,13,1,4,1,1,9381,1,1
0,0,2,0,0,0,0,0,0,0,35,0,0
0,3,108,0,0,0,0,0,0,1,8125,0,0
0,0,9,0,0,0,0,0,0,0,44,0,0
0,0,11,0,0,0,0,0,0,1,85,0,0
0,1,16,0,0,0,0,0,0,1,286,0,0
0,1,11,1,0,0,0,0,0,0,77,0,0
1,189,1496,170,14,129,1,45,1,1,9381,1,1
0,2,37,0,0,2,0,1,0,1,439,0,0
1,16,864,175,73,5,1,2,1,1,16922,1,1
1,59,5966,254,85,67,0,12,1,1,24796,1,1
0,1,11,1,0,0,0,0,0,0,82,0,0
1,148,789,127,40,29,1,16,1,1,9381,1,1
1,221,2588,196,76,34,1,33,1,1,10913,1,1
1,16,311,1,11,9,1,5,1,1,650,1,1
0,1,13,1,0,0,0,0,0,1,115,0,0
1,227,1647,243,24,11,1,0,1,1,473,1,1
1,42,3999,214,122,15,1,10,1,1,3184,1,1
0,0,2,0,0,0,0,0,0,0,67,0,0
0,0,9,0,0,0,0,0,0,0,44,0,0
1,359,3082,324,87,4,1,1,1,1,922,1,1
1,43,1100,35,4,7,0,6,1,1,1902,0,1
1,157,2115,153,52,44,1,41,1,1,12622,1,1
1,127,2132,109,14,41,1,26,1,1,7704,1,1
1,187,1012,183,38,19,1,12,1,1,9727,0,1
0,0,41,0,0,0,0,0,0,0,112,0,0
1,42,437,28,10,17,1,6,1,1,1746,0,1
0,2,31,0,0,0,0,0,0,0,146,0,0
1,39,2722,276,53,11,1,10,1,1,1165,1,1
0,1,13,0,0,0,0,0,0,1,73,0,0
1,80,1102,59,35,27,1,20,1,1,9381,0,1
0,5,88,0,1,2,0,1,0,0,239,1,0
1,10,1585,47,26,10,1,8,0,1,1350,1,1
1,24,4931,103,77,51,1,4,1,1,3968,1,1
0,3,108,0,0,0,0,0,0,1,8125,0,0
1,14,642,55,7,7,1,2,1,1,715,1,1
0,0,2,0,0,0,0,0,0,0,67,0,0
1,11,432,63,11,15,0,5,1,1,283,1,1
1,14,345,20,16,11,0,8,1,1,717,1,1
1,154,1512,1,0,3,0,1,0,1,304,0,1
1,30,642,5,4,5,1,2,1,1,178,1,1
1,10,449,90,1,19,0,11,1,1,1161,1,1
1,91,3582,494,78,31,1,10,1,1,698,0,1
0,1,49,0,0,2,0,0,0,0,777,0,0
1,32,692,105,52,15,0,6,1,1,778,1,1
0,0,2,0,0,0,0,0,0,0,41,0,0
0,0,2,0,0,0,0,0,0,1,170,0,0
1,4,282,17,11,5,0,7,1,1,474,0,1
1,128,6442,418,166,13,1,1,1,1,1192,1,1
1,11,367,19,5,10,0,1,0,1,364,1,1
0,1,63,0,0,5,0,1,0,1,888,0,0
0,0,2,0,0,0,0,0,0,0,268,0,0
0,0,2,0,0,0,0,0,0,0,24,0,0
1,110,2964,89,34,20,1,6,1,1,1658,1,1
0,1,2,0,1,1,0,1,0,1,5972,0,0
1,420,4956,375,4,13,1,6,1,1,19828,1,1
1,8,1258,84,7,23,1,3,1,1,2691,1,1
0,2,27,0,0,0,0,0,0,0,75,0,0
0,4,241,0,0,1,0,6,0,1,103353,0,0
1,74,475,85,53,14,0,11,0,1,453,1,1
1,22,393,14,17,4,0,6,1,1,172,1,1
1,21,1729,107,35,20,1,12,1,1,1560,1,1
1,12,1529,129,35,39,1,20,0,1,4886,1,1
1,89,877,84,17,33,1,18,1,1,7499,1,1
1,19,588,17,42,9,1,3,0,1,200,0,1
0,1,9,1,0,0,0,0,0,0,86,0,0
0,0,8,0,0,0,0,0,0,0,41,0,0
0,0,2,0,0,0,0,0,0,0,37,0,0
1,29,2670,320,66,4,1,3,1,1,4830,1,1
1,193,1172,210,50,30,1,16,0,1,9381,1,1
0,0,59,1,2,3,0,0,0,1,78,1,0
0,1,68,0,0,0,0,0,0,1,80,0,0
1,51,1833,61,43,17,1,3,1,1,2482,1,1
0,1,9,1,0,0,0,0,0,1,103,0,0
0,3,108,0,0,0,0,0,0,1,8125,0,0
1,101,1211,70,27,14,1,5,1,1,9381,1,1
1,14,1054,23,25,21,1,2,1,1,3974,1,1
0,0,2,0,0,0,0,0,0,1,38,0,0
0,0,7,0,0,0,0,0,0,0,164,0,0
1,12,699,2,12,1,0,1,1,1,860,0,1
1,43,1020,81,19,51,1,7,0,1,6691,1,1
1,19,1069,56,44,30,1,17,1,1,7629,1,1
0,0,2,0,0,0,0,0,0,0,39,0,0
1,31,247,26,0,1,1,3,1,1,774,0,1
1,21,1051,11,31,45,1,11,1,1,427,0,1
1,164,593,156,18,5,1,4,1,1,1080,1,1
1,30,551,84,11,22,1,14,1,1,4540,1,1
1,22,1513,121,13,7,1,4,1,1,680,1,1
0,0,66,1,5,4,0,1,0,1,172,1,0
1,59,1882,206,30,7,0,6,1,1,4271,1,1
1,12,165,7,5,11,1,4,1,1,634,1,1
0,1,9,1,0,0,0,0,0,1,99,0,0
0,0,30,2,1,0,0,2,0,1,115,0,0
0,0,2,0,0,1,0,1,0,0,537,0,0
1,61,2175,53,151,8,1,3,0,1,9381,1,1
0,0,2,0,0,0,0,0,0,0,40,0,0
1,7,364,42,8,15,1,9,0,1,735,1,1
1,46,504,43,16,10,0,9,1,1,2147,1,1
1,37,1784,464,60,26,0,24,0,1,3546,1,1
1,180,1943,83,33,42,1,29,0,1,9381,1,1
1,45,456,47,11,8,1,7,1,1,6486,1,1
0,0,2,0,0,0,0,0,0,0,36,0,0
1,27,5933,23,39,17,1,4,0,1,14115,1,1
1,64,1690,169,63,12,1,4,1,1,31418,1,1
0,1,2,0,0,1,0,0,0,0,2551,0,0
1,246,1898,239,28,28,1,26,0,1,7061,1,1
1,44,2462,188,168,15,1,4,1,1,16123,1,1
1,51,194,56,14,4,1,1,1,1,1879,1,1
1,9,760,20,16,16,1,9,0,1,1198,1,1
1,21,2258,38,26,25,1,25,1,1,18228,0,1
0,0,9,0,0,0,0,0,0,0,91,0,0
0,0,11,0,0,0,0,0,0,0,86,0,0
1,155,1153,129,19,34,0,38,1,1,6565,0,1
1,306,1543,288,28,22,0,12,1,1,1914,1,1
1,51,456,45,26,8,1,9,1,1,2001,1,1
0,0,2,0,0,0,0,0,0,1,161,0,0
1,238,1689,0,75,42,1,20,0,1,2606,0,1
0,0,2,0,0,0,0,0,0,0,36,0,0
1,1,815,0,43,5,1,3,1,1,847,1,1
0,1,68,0,0,0,0,0,0,1,80,0,0
1,46,678,68,33,12,1,4,0,1,491,1,1
0,0,20,0,0,0,0,0,0,0,207,0,0
1,92,5028,152,16,9,1,1,1,1,664,1,1
1,3,408,79,16,12,0,9,1,1,1166,1,1
0,1,86,67,0,63,0,4,0,0,266643,0,0
1,28,547,48,16,25,1,31,1,1,1032,1,1
1,15,3035,127,59,7,1,2,1,1,591,1,1
0,0,20,0,0,0,0,0,0,0,210,0,0
1,132,1391,120,38,9,1,6,1,1,1174,1,1
0,0,15,0,0,0,0,0,0,0,155,0,0
0,0,2,0,0,0,0,0,0,0,30,0,0
1,6,855,1,38,13,0,6,1,1,512,1,1
0,0,3,0,0,0,0,0,0,0,60,0,0
1,141,22194,355,89,359,1,68,1,1,5809,0,1
0,1,4,2,0,1,0,1,0,1,520,0,0
0,1,11,1,0,0,0,0,0,0,89,0,0
0,0,9,0,0,0,0,0,0,0,42,0,0
0,1,527,0,1,6,0,1,0,1,21423,0,0
1,239,1617,24,66,12,1,9,1,1,9458,1,1
1,24,1879,42,34,9,1,1,1,1,425,1,1
0,1,13,1,0,0,0,0,0,1,155,0,0
1,72,482,69,27,12,1,8,1,1,1780,1,1
1,94,934,33,51,19,1,6,1,1,1972,1,1
1,117,8241,156,126,88,1,28,1,1,32044,1,1
1,111,688,124,12,31,1,14,1,1,4232,1,1
1,156,2263,149,28,52,1,56,1,1,6953,1,1
0,1,2,0,0,1,0,1,1,1,27588,0,0
0,3,141,0,4,0,0,0,0,1,161,0,0
1,266,4471,490,165,7,1,4,0,1,880,1,1
1,11,463,16,21,8,1,1,1,1,690,0,1
1,30,554,16,98,5,1,3,1,1,1247,1,1
1,9,436,35,10,16,1,12,1,1,1488,1,1
1,55,1270,299,48,20,1,58,1,1,2931,1,1
0,3,108,0,0,0,0,0,0,1,8125,0,0
1,8,1293,107,39,9,1,3,0,1,6096,1,1
1,201,3552,213,26,24,1,3,1,1,10641,1,1
1,77,491,31,1,42,0,1,1,1,1437,1,1
1,127,1980,60,95,11,1,4,1,1,5326,0,1
1,113,2996,129,58,21,1,12,0,1,41959,1,1
0,1,9,1,0,0,0,0,0,0,112,0,0
0,0,2,0,0,0,0,0,0,1,199,0,0
0,1,11,1,0,0,0,0,0,1,142,0,0
1,21,2198,143,17,17,1,2,1,1,2201,1,1
1,19,1167,59,14,38,1,26,1,1,4261,1,1
1,17,371,41,12,5,0,2,1,1,435,1,1
1,99,998,83,0,9,0,7,1,1,1587,1,1
1,68,4293,372,86,18,1,4,1,1,1336,0,1
1,33,1780,78,54,34,1,15,1,1,1296,1,1
1,27,2901,76,30,19,1,2,1,1,3983,1,1
1,10,714,24,31,7,1,2,0,1,880,1,1
1,31,1351,137,52,8,1,5,1,1,2296,1,1
0,3,375,1,10,1,0,0,0,1,20724,0,0
0,0,8,0,0,0,0,0,0,0,41,0,0
1,490,1590,104,65,5,0,3,1,1,2195,1,1
0,0,121,0,0,0,0,0,0,1,132,0,0
0,0,16,0,0,0,0,0,0,0,93,0,0
1,60,1146,46,40,11,1,4,1,1,14603,1,1
1,267,1187,229,20,48,1,48,0,1,25571,1,1
1,95,1351,83,50,27,1,13,1,1,8047,1,1
0,0,2,0,0,0,0,0,0,0,39,0,0
0,0,2,0,0,0,0,0,0,0,40,0,0
1,57,1203,2,17,10,1,7,1,1,855,1,1
0,3,108,0,0,0,0,0,0,1,8125,0,0
0,1,64,3,0,8,0,2,0,0,151,1,0
1,31,5575,144,158,34,1,3,1,1,57206,1,1
1,76,877,61,40,25,1,17,1,1,13401,1,1
0,0,124,0,0,0,0,0,0,1,111,0,0
1,40,963,14,3,26,1,2,1,1,1071,0,1
1,26,536,71,12,23,1,37,1,1,987,0,1
1,121,1776,231,111,9,1,68,1,1,11709,1,1
0,0,129,3,1,1,0,0,0,1,368,0,0
1,493,12700,605,295,18,1,4,1,1,3214,1,1
0,0,2,0,0,0,0,0,0,1,59,0,0
1,26,349,22,10,16,1,4,1,1,652,1,1
0,0,9,0,0,0,0,0,0,0,50,0,0
1,38,871,112,3,19,1,22,1,1,7993,0,1
1,146,1089,155,32,3,1,5,1,1,8754,1,1
1,190,798,156,15,12,1,6,1,1,9381,1,1
0,0,2,0,0,0,0,0,0,0,49,0,0
1,11,799,12,18,3,1,4,0,1,3448,1,1
1,29,589,67,30,6,1,1,1,1,694,0,1
0,3,108,0,0,0,0,0,0,1,8125,0,0
0,1,9,1,0,0,0,0,0,0,87,0,0
0,1,29,0,0,0,0,0,0,0,85,0,0
1,133,3137,156,26,56,1,63,1,1,9381,1,1
1,35,1616,200,12,4,1,2,1,1,1638,1,1
1,17,2290,14,47,3,0,8,1,1,329,0,1
1,15,618,62,15,6,1,3,1,1,9123,1,1
0,3,108,0,0,0,0,0,0,1,8125,0,0
1,61,604,60,21,11,1,11,1,1,4885,1,1
1,3,181,16,25,7,1,3,0,1,186,0,1
0,0,2,0,0,0,0,0,0,0,44,0,0
1,91,531,82,19,14,1,11,1,1,9381,1,1
1,170,712,1,178,7,1,36,1,1,3043,1,1
0,0,2,0,0,1,0,1,0,0,537,0,0
1,141,1517,124,37,27,1,13,1,1,8047,1,1
1,14,383,31,15,27,0,20,1,1,4817,0,1
0,1,9,1,0,0,0,0,0,0,236,0,0
1,52,545,2,8,24,0,21,1,1,2086,1,1
0,1,68,0,0,0,0,0,0,1,80,0,0
1,21,1881,332,124,12,1,5,1,1,575,1,1
0,0,30,2,1,0,0,2,0,1,115,0,0
1,246,5015,163,80,15,1,4,1,1,29769,1,1
1,180,1093,177,84,16,1,8,1,1,6651,0,1
1,46,1107,54,14,11,1,5,0,1,1119,1,1
0,0,9,0,0,0,0,0,0,1,55,0,0
1,91,1512,81,37,36,1,26,1,1,8047,0,1
1,17,1405,46,348,19,1,4,1,1,10345,1,1
0,0,17,0,0,0,0,0,0,0,14612,0,0
1,152,909,99,7,14,1,2,1,1,515,1,1
1,67,1133,49,65,15,1,5,0,1,374,1,1
1,133,3415,136,87,14,1,2,1,1,8035,1,1
1,118,1363,102,27,13,1,10,1,1,1148,1,1
0,0,15,0,0,0,0,0,0,0,155,0,0
1,41,3764,165,124,16,1,2,1,1,2691,1,1
1,129,809,109,14,33,1,15,1,1,9381,1,1
0,1,9,1,0,0,0,0,0,0,80,0,0
1,5,138,24,2,2,0,4,1,1,161,1,1
0,0,9,0,0,0,0,0,0,0,42,0,0
0,0,2,0,0,0,0,0,0,1,28,0,0
1,1,9,1,0,0,0,0,0,0,73,0,0
1,16,808,44,9,26,1,3,1,1,3558,1,1
0,0,3,0,0,0,0,0,0,0,40,0,0
0,1,68,0,0,0,0,0,0,1,80,0,0
1,2,195,52,0,2,0,1,1,1,242,0,1
0,0,2,0,0,0,0,0,0,0,51,0,0
1,17,1926,29,46,13,1,3,0,1,18322,1,1
1,30,1021,39,24,14,1,15,0,1,2146,0,1
1,68,599,58,15,17,1,10,1,1,2861,1,1
1,169,2097,97,36,27,1,1,0,1,1193,1,1
1,24,2605,68,85,29,1,11,1,1,19146,1,1
0,4,271,1,19,9,0,3,0,1,19629,0,0
0,3,108,0,0,0,0,0,0,1,8125,0,0
0,0,2,0,0,0,0,0,0,0,45,0,0
1,52,782,42,15,26,1,17,1,1,8047,0,1
1,14,1439,136,76,3,1,4,0,1,7088,1,1
0,2,198,0,0,0,0,0,0,1,869,0,0
0,0,35,0,0,1,0,0,0,1,126,0,0
1,5,823,42,6,7,0,2,1,1,792,1,1
1,438,2615,451,82,77,1,42,1,1,9381,1,1
1,17,4021,140,41,6,1,0,1,1,3334,1,1
1,65,9461,274,1092,21,1,3,1,1,51903,1,1
1,152,1646,144,33,36,1,18,1,1,1822,1,1
1,84,1250,96,9,9,1,5,1,1,835,1,1
1,205,774,200,9,18,0,12,1,1,2068,0,1
0,0,2,0,0,0,0,0,0,1,122,0,0
1,247,9992,236,33,36,1,20,1,1,11810,1,1
0,1,2,0,0,0,0,0,1,0,6637,1,0
1,38,957,47,41,13,1,25,0,1,611,0,1
1,17,411,15,5,3,1,1,0,1,167,1,1
0,3,108,0,0,0,0,0,0,1,8125,0,0
1,38,2511,26,31,7,1,4,1,1,1100,1,1
